Title,Score,Info
Sousou no Frieren,9.30,"TV (28 eps)        Sep 2023 - Mar 2024        1,090,110 members"
Fullmetal Alchemist: Brotherhood,9.10,"TV (64 eps)        Apr 2009 - Jul 2010        3,507,930 members"
Steins;Gate,9.07,"TV (24 eps)        Apr 2011 - Sep 2011        2,687,126 members"
Shingeki no Kyojin Season 3 Part 2,9.05,"TV (10 eps)        Apr 2019 - Jul 2019        2,431,852 members"
One Piece Fan Letter,9.05,"TV Special (1 eps)        Oct 2024 - Oct 2024        104,341 members"
Gintama°,9.05,"TV (51 eps)        Apr 2015 - Mar 2016        663,495 members"
Gintama: The Final,9.04,"Movie (1 eps)        Jan 2021 - Jan 2021        167,882 members"
Hunter x Hunter (2011),9.03,"TV (148 eps)        Oct 2011 - Sep 2014        3,007,149 members"
Gintama',9.02,"TV (51 eps)        Apr 2011 - Mar 2012        586,724 members"
Gintama': Enchousen,9.02,"TV (13 eps)        Oct 2012 - Mar 2013        342,823 members"
Ginga Eiyuu Densetsu,9.01,"OVA (110 eps)        Jan 1988 - Mar 1997        342,326 members"
Bleach: Sennen Kessen-hen,9.00,"TV (13 eps)        Oct 2022 - Dec 2022        629,332 members"
Gintama.,8.98,"TV (12 eps)        Jan 2017 - Mar 2017        332,891 members"
Kaguya-sama wa Kokurasetai: Ultra Romantic,8.98,"TV (13 eps)        Apr 2022 - Jun 2022        1,022,549 members"
Fruits Basket: The Final,8.95,"TV (13 eps)        Apr 2021 - Jun 2021        523,201 members"
Clannad: After Story,8.93,"TV (24 eps)        Oct 2008 - Mar 2009        1,239,442 members"
Gintama,8.93,"TV (201 eps)        Apr 2006 - Mar 2010        1,111,896 members"
Koe no Katachi,8.93,"Movie (1 eps)        Sep 2016 - Sep 2016        2,467,079 members"
3-gatsu no Lion 2nd Season,8.91,"TV (22 eps)        Oct 2017 - Mar 2018        421,963 members"
Code Geass: Hangyaku no Lelouch R2,8.91,"TV (25 eps)        Apr 2008 - Sep 2008        1,864,912 members"
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90,"Movie (1 eps)        Jul 2013 - Jul 2013        252,464 members"
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,"TV (14 eps)        Jul 2018 - Oct 2018        213,681 members"
Monster,8.88,"TV (74 eps)        Apr 2004 - Sep 2005        1,223,522 members"
Kusuriya no Hitorigoto,8.87,"TV (24 eps)        Oct 2023 - Mar 2024        607,276 members"
Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87,"TV Special (2 eps)        Mar 2023 - Nov 2023        759,763 members"
Owarimonogatari 2nd Season,8.86,"TV Special (7 eps)        Aug 2017 - Aug 2017        420,069 members"
Violet Evergarden Movie,8.85,"Movie (1 eps)        Sep 2020 - Sep 2020        670,355 members"
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83,"Movie (1 eps)        Nov 2024 - Nov 2024        41,204 members"
Kimi no Na wa.,8.83,"Movie (1 eps)        Aug 2016 - Aug 2016        2,884,663 members"
Kingdom 3rd Season,8.83,"TV (26 eps)        Apr 2020 - Oct 2021        118,399 members"
Kusuriya no Hitorigoto 2nd Season,8.82,"TV (24 eps)        Jan 2025 -         268,120 members"
Vinland Saga Season 2,8.81,"TV (24 eps)        Jan 2023 - Jun 2023        735,459 members"
Gintama. Shirogane no Tamashii-hen,8.81,"TV (12 eps)        Jan 2018 - Mar 2018        226,598 members"
Hajime no Ippo,8.78,"TV (75 eps)        Oct 2000 - Mar 2002        645,340 members"
Kizumonogatari III: Reiketsu-hen,8.78,"Movie (1 eps)        Jan 2017 - Jan 2017        489,470 members"
Mob Psycho 100 II,8.78,"TV (13 eps)        Jan 2019 - Apr 2019        1,632,000 members"
Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.78,"TV (13 eps)        Jan 2025 - Mar 2025        537,312 members"
Shingeki no Kyojin: The Final Season,8.78,"TV (16 eps)        Dec 2020 - Mar 2021        2,143,059 members"
Sen to Chihiro no Kamikakushi,8.77,"Movie (1 eps)        Jul 2001 - Jul 2001        1,942,560 members"
Vinland Saga,8.77,"TV (24 eps)        Jul 2019 - Dec 2019        1,665,246 members"
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,"TV (10 eps)        Oct 2016 - Dec 2016        1,268,985 members"
Shingeki no Kyojin: The Final Season Part 2,8.76,"TV (12 eps)        Jan 2022 - Apr 2022        1,427,236 members"
Jujutsu Kaisen 2nd Season,8.76,"TV (23 eps)        Jul 2023 - Dec 2023        1,174,151 members"
Monogatari Series: Second Season,8.76,"TV (26 eps)        Jul 2013 - Dec 2013        696,206 members"
Bocchi the Rock!,8.75,"TV (12 eps)        Oct 2022 - Dec 2022        686,342 members"
Boku no Kokoro no Yabai Yatsu 2nd Season,8.75,"TV (13 eps)        Jan 2024 - Mar 2024        257,317 members"
Cowboy Bebop,8.75,"TV (26 eps)        Apr 1998 - Apr 1999        1,961,186 members"
Ashita no Joe 2,8.74,"TV (47 eps)        Oct 1980 - Aug 1981        59,938 members"
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.74,"Movie (1 eps)        Dec 2022 - Dec 2022        324,169 members"
Kingdom 4th Season,8.73,"TV (26 eps)        Apr 2022 - Oct 2022        77,293 members"
One Piece,8.73,"TV (? eps)        Oct 1999 -         2,516,043 members"
Shiguang Dailiren,8.73,"ONA (11 eps)        Apr 2021 - Jul 2021        428,726 members"
The First Slam Dunk,8.73,"Movie (1 eps)        Dec 2022 - Dec 2022        63,209 members"
Hibike! Euphonium 3,8.72,"TV (13 eps)        Apr 2024 - Jun 2024        84,324 members"
Kimetsu no Yaiba: Yuukaku-hen,8.72,"TV (11 eps)        Dec 2021 - Feb 2022        1,587,708 members"
Kingdom 5th Season,8.72,"TV (13 eps)        Jan 2024 - Mar 2024        48,647 members"
Mushishi Zoku Shou 2nd Season,8.72,"TV (10 eps)        Oct 2014 - Dec 2014        280,062 members"
Mob Psycho 100 III,8.71,"TV (12 eps)        Oct 2022 - Dec 2022        773,571 members"
86 Part 2,8.71,"TV (12 eps)        Oct 2021 - Mar 2022        572,545 members"
Chi. Chikyuu no Undou ni Tsuite,8.71,"TV (25 eps)        Oct 2024 - Mar 2025        183,555 members"
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70,"TV (13 eps)        Jul 2023 - Sep 2023        351,205 members"
Code Geass: Hangyaku no Lelouch,8.70,"TV (25 eps)        Oct 2006 - Jul 2007        2,356,310 members"
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.70,"TV (12 eps)        Jan 2017 - Mar 2017        195,163 members"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.70,"OVA (4 eps)        Feb 1999 - Sep 1999        285,310 members"
Mushishi Zoku Shou,8.69,"TV (10 eps)        Apr 2014 - Jun 2014        313,819 members"
Mo Dao Zu Shi: Wanjie Pian,8.68,"ONA (12 eps)        Aug 2021 - Oct 2021        88,944 members"
Monogatari Series: Off & Monster Season,8.68,"ONA (14 eps)        Jul 2024 - Oct 2024        87,062 members"
Great Teacher Onizuka,8.68,"TV (43 eps)        Jun 1999 - Sep 2000        872,679 members"
Violet Evergarden,8.68,"TV (13 eps)        Jan 2018 - Apr 2018        1,888,642 members"
Bleach: Sennen Kessen-hen - Soukoku-tan,8.67,"TV (14 eps)        Oct 2024 - Dec 2024        226,771 members"
Hajime no Ippo: New Challenger,8.67,"TV (26 eps)        Jan 2009 - Jul 2009        307,005 members"
Howl no Ugoku Shiro,8.67,"Movie (1 eps)        Nov 2004 - Nov 2004        1,416,092 members"
Mononoke Hime,8.66,"Movie (1 eps)        Jul 1997 - Jul 1997        1,318,831 members"
Tian Guan Cifu Er,8.66,"ONA (12 eps)        Oct 2023 - Jan 2024        55,168 members"
Shiguang Dailiren II,8.65,"ONA (12 eps)        Jul 2023 - Sep 2023        144,057 members"
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.65,"Movie (1 eps)        Aug 2020 - Aug 2020        378,678 members"
Look Back,8.65,"Movie (1 eps)        Jun 2024 - Jun 2024        160,960 members"
Mushishi,8.65,"TV (26 eps)        Oct 2005 - Jun 2006        868,419 members"
Odd Taxi,8.65,"TV (13 eps)        Apr 2021 - Jun 2021        473,186 members"
Made in Abyss,8.64,"TV (13 eps)        Jul 2017 - Sep 2017        1,467,652 members"
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.64,"TV (12 eps)        Oct 2021 - Dec 2021        1,030,763 members"
Shigatsu wa Kimi no Uso,8.64,"TV (22 eps)        Oct 2014 - Mar 2015        2,314,126 members"
Tengen Toppa Gurren Lagann,8.64,"TV (27 eps)        Apr 2007 - Sep 2007        1,685,379 members"
Shingeki no Kyojin Season 3,8.63,"TV (12 eps)        Jul 2018 - Oct 2018        2,512,232 members"
Natsume Yuujinchou Shi,8.63,"TV (13 eps)        Jan 2012 - Mar 2012        256,644 members"
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,"TV (12 eps)        Apr 2020 - Jun 2020        1,421,601 members"
Ping Pong the Animation,8.62,"TV (11 eps)        Apr 2014 - Jun 2014        416,031 members"
Bungou Stray Dogs 5th Season,8.62,"TV (11 eps)        Jul 2023 - Sep 2023        224,180 members"
Death Note,8.62,"TV (37 eps)        Oct 2006 - Jun 2007        4,088,682 members"
Haikyuu!! Second Season,8.62,"TV (25 eps)        Oct 2015 - Mar 2016        1,500,451 members"
Cyberpunk: Edgerunners,8.61,"ONA (10 eps)        Sep 2022 - Sep 2022        896,667 members"
Haikyuu!! Movie: Gomisuteba no Kessen,8.61,"Movie (1 eps)        Feb 2024 - Feb 2024        181,560 members"
Hajime no Ippo: Rising,8.61,"TV (25 eps)        Oct 2013 - Mar 2014        279,543 members"
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61,"Movie (1 eps)        Jan 2020 - Jan 2020        501,281 members"
Made in Abyss: Retsujitsu no Ougonkyou,8.61,"TV (12 eps)        Jul 2022 - Sep 2022        494,780 members"
Natsume Yuujinchou Roku,8.61,"TV (11 eps)        Apr 2017 - Jun 2017        197,259 members"
Kenpuu Denki Berserk,8.60,"TV (25 eps)        Oct 1997 - Apr 1998        714,357 members"
Dungeon Meshi,8.60,"TV (24 eps)        Jan 2024 - Jun 2024        469,068 members"
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,"Movie (1 eps)        Jun 2019 - Jun 2019        759,846 members"
Suzumiya Haruhi no Shoushitsu,8.59,"Movie (1 eps)        Feb 2010 - Feb 2010        630,085 members"
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.59,"Movie (1 eps)        Apr 2009 - Apr 2009        227,841 members"
Shin Evangelion Movie:||,8.58,"Movie (1 eps)        Mar 2021 - Mar 2021        399,846 members"
[Oshi no Ko],8.58,"TV (11 eps)        Apr 2023 - Jun 2023        939,462 members"
[Oshi no Ko] 2nd Season,8.58,"TV (13 eps)        Jul 2024 - Oct 2024        433,265 members"
Doupo Cangqiong: San Nian Zhi Yue,8.58,"ONA (13 eps)        Oct 2021 - Jan 2022        9,913 members"
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,"TV (39 eps)        Oct 2018 - Jul 2019        1,091,718 members"
Mushishi Zoku Shou: Suzu no Shizuku,8.58,"Movie (1 eps)        May 2015 - May 2015        135,138 members"
Natsume Yuujinchou Shichi,8.58,"TV (12 eps)        Oct 2024 - Dec 2024        48,088 members"
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.56,"Movie (1 eps)        Oct 2020 - Oct 2020        1,658,616 members"
Kizumonogatari II: Nekketsu-hen,8.56,"Movie (1 eps)        Aug 2016 - Aug 2016        468,286 members"
Nana,8.56,"TV (47 eps)        Apr 2006 - Mar 2007        724,651 members"
Natsume Yuujinchou Go,8.56,"TV (11 eps)        Oct 2016 - Dec 2016        197,648 members"
Natsume Yuujinchou San,8.56,"TV (13 eps)        Jul 2011 - Sep 2011        263,827 members"
Ookami Kodomo no Ame to Yuki,8.56,"Movie (1 eps)        Jul 2012 - Jul 2012        841,055 members"
Shingeki no Kyojin,8.56,"TV (25 eps)        Apr 2013 - Sep 2013        4,143,777 members"
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.56,"Movie (1 eps)        Jul 1997 - Jul 1997        983,800 members"
Shouwa Genroku Rakugo Shinjuu,8.55,"TV (13 eps)        Jan 2016 - Apr 2016        302,535 members"
Slam Dunk,8.55,"TV (101 eps)        Oct 1993 - Mar 1996        320,408 members"
Yojouhan Shinwa Taikei,8.55,"TV (11 eps)        Apr 2010 - Jul 2010        473,073 members"
Jujutsu Kaisen,8.55,"TV (24 eps)        Oct 2020 - Mar 2021        2,787,489 members"
Kimi no Suizou wo Tabetai,8.55,"Movie (1 eps)        Sep 2018 - Sep 2018        1,040,745 members"
Perfect Blue,8.55,"Movie (1 eps)        Feb 1998 - Feb 1998        763,446 members"
Haikyuu!! To the Top Part 2,8.55,"TV (12 eps)        Oct 2020 - Dec 2020        875,670 members"
Fate/Zero 2nd Season,8.54,"TV (12 eps)        Apr 2012 - Jun 2012        1,156,339 members"
Steins;Gate 0,8.54,"TV (23 eps)        Apr 2018 - Sep 2018        913,652 members"
Shingeki no Kyojin Season 2,8.53,"TV (12 eps)        Apr 2017 - Jun 2017        2,866,113 members"
Zoku Natsume Yuujinchou,8.53,"TV (13 eps)        Jan 2009 - Mar 2009        259,000 members"
Dandadan,8.53,"TV (12 eps)        Oct 2024 - Dec 2024        699,229 members"
Fruits Basket 2nd Season,8.53,"TV (25 eps)        Apr 2020 - Sep 2020        550,069 members"
Hotaru no Haka,8.53,"Movie (1 eps)        Apr 1988 - Apr 1988        720,881 members"
Mushishi: Hihamukage,8.53,"TV Special (1 eps)        Jan 2014 - Jan 2014        146,660 members"
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.52,"ONA (14 eps)        Dec 2022 - Dec 2022        247,313 members"
Tian Guan Cifu Short Film,8.52,"ONA (? eps)        Feb 2025 -         5,952 members"
Tu Bian Yingxiong X,8.52,"ONA (24 eps)        Apr 2025 -         64,326 members"
Bakuman. 3rd Season,8.52,"TV (25 eps)        Oct 2012 - Mar 2013        339,541 members"
Gintama Movie 1: Shinyaku Benizakura-hen,8.52,"Movie (1 eps)        Apr 2010 - Apr 2010        171,366 members"
Gintama. Porori-hen,8.52,"TV (13 eps)        Oct 2017 - Dec 2017        212,490 members"
Kara no Kyoukai Movie 5: Mujun Rasen,8.51,"Movie (1 eps)        Aug 2008 - Aug 2008        246,761 members"
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.51,"TV (26 eps)        Jan 2004 - Jan 2005        234,961 members"
Samurai Champloo,8.51,"TV (26 eps)        May 2004 - Mar 2005        1,294,747 members"
Shoujo☆Kageki Revue Starlight Movie,8.51,"Movie (1 eps)        Jun 2021 - Jun 2021        23,323 members"
Sora yori mo Tooi Basho,8.51,"TV (13 eps)        Jan 2018 - Mar 2018        531,452 members"
Tian Guan Cifu Special,8.50,"ONA (1 eps)        Feb 2021 - Feb 2021        55,621 members"
Yuru Camp△ Season 2,8.50,"TV (13 eps)        Jan 2021 - Apr 2021        241,395 members"
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,"TV (39 eps)        Apr 2016 - Dec 2016        1,190,839 members"
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.50,"TV (16 eps)        Oct 2024 - Mar 2025        390,443 members"
Kimi ni Todoke 3rd Season,8.49,"ONA (5 eps)        Aug 2024 - Aug 2024        88,968 members"
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.49,"Movie (1 eps)        Oct 2013 - Oct 2013        399,707 members"
Mob Psycho 100,8.49,"TV (12 eps)        Jul 2016 - Sep 2016        2,198,827 members"
One Punch Man,8.49,"TV (12 eps)        Oct 2015 - Dec 2015        3,370,296 members"
Ousama Ranking,8.49,"TV (23 eps)        Oct 2021 - Mar 2022        704,806 members"
Ansatsu Kyoushitsu 2nd Season,8.48,"TV (25 eps)        Jan 2016 - Jul 2016        1,503,217 members"
Uchuu Kyoudai,8.48,"TV (99 eps)        Apr 2012 - Mar 2014        203,015 members"
Yakusoku no Neverland,8.48,"TV (12 eps)        Jan 2019 - Mar 2019        2,062,649 members"
Spy x Family,8.47,"TV (12 eps)        Apr 2022 - Jun 2022        1,728,969 members"
Summertime Render,8.47,"TV (25 eps)        Apr 2022 - Sep 2022        610,077 members"
Uma Musume: Pretty Derby - Shin Jidai no Tobira,8.47,"Movie (1 eps)        May 2024 - May 2024        12,302 members"
Nichijou,8.47,"TV (26 eps)        Apr 2011 - Sep 2011        941,391 members"
Aria the Origination,8.47,"TV (13 eps)        Jan 2008 - Apr 2008        136,000 members"
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.47,"Movie (1 eps)        Jan 2019 - Jan 2019        413,124 members"
Banana Fish,8.46,"TV (24 eps)        Jul 2018 - Dec 2018        914,895 members"
Chainsaw Man,8.46,"TV (12 eps)        Oct 2022 - Dec 2022        1,735,204 members"
Chihayafuru 3,8.46,"TV (24 eps)        Oct 2019 - Mar 2020        149,779 members"
Doupo Cangqiong: Nian Fan,8.46,"ONA (157 eps)        Jul 2022 -         10,106 members"
Gintama: The Semi-Final,8.46,"Special (2 eps)        Jan 2021 - Jan 2021        85,447 members"
Yuu☆Yuu☆Hakusho,8.46,"TV (112 eps)        Oct 1992 - Jan 1995        723,747 members"
Mo Dao Zu Shi,8.46,"ONA (15 eps)        Jul 2018 - Oct 2018        244,072 members"
Mo Dao Zu Shi: Xian Yun Pian,8.46,"ONA (8 eps)        Aug 2019 - Sep 2019        112,782 members"
Rainbow: Nisha Rokubou no Shichinin,8.46,"TV (26 eps)        Apr 2010 - Sep 2010        411,417 members"
Owarimonogatari,8.45,"TV (12 eps)        Oct 2015 - Dec 2015        495,620 members"
Pluto,8.45,"ONA (8 eps)        Oct 2023 - Oct 2023        211,169 members"
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45,"Movie (1 eps)        Apr 2013 - Apr 2013        618,450 members"
Grand Blue,8.44,"TV (12 eps)        Jul 2018 - Sep 2018        831,518 members"
Haikyuu!!,8.44,"TV (25 eps)        Apr 2014 - Sep 2014        2,073,455 members"
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,8.44,"TV (24 eps)        Jan 2015 - Jun 2015        1,177,012 members"
Kimetsu no Yaiba,8.44,"TV (26 eps)        Apr 2019 - Sep 2019        3,235,298 members"
Karakai Jouzu no Takagi-san Movie,8.43,"Movie (1 eps)        Jun 2022 - Jun 2022        85,984 members"
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.43,"TV (12 eps)        Jan 2021 - Mar 2021        984,523 members"
Zoku Owarimonogatari,8.43,"TV (6 eps)        May 2019 - Jun 2019        241,276 members"
Bungou Stray Dogs 4th Season,8.43,"TV (13 eps)        Jan 2023 - Mar 2023        327,998 members"
Golden Kamuy 3rd Season,8.43,"TV (12 eps)        Oct 2020 - Dec 2020        184,606 members"
Gintama: Yorinuki Gintama-san on Theater 2D,8.42,"Movie (2 eps)        Aug 2012 - Aug 2012        46,453 members"
Hunter x Hunter,8.42,"TV (62 eps)        Oct 1999 - Mar 2001        620,041 members"
Kono Oto Tomare! Part 2,8.42,"TV (13 eps)        Oct 2019 - Dec 2019        191,325 members"
Koukaku Kidoutai: Stand Alone Complex,8.42,"TV (26 eps)        Oct 2002 - Oct 2003        411,134 members"
Mushishi Zoku Shou: Odoro no Michi,8.42,"TV Special (1 eps)        Aug 2014 - Aug 2014        106,327 members"
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.42,"TV (12 eps)        Apr 2024 - Jul 2024        482,669 members"
Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.42,"Movie (1 eps)        Sep 2018 - Sep 2018        79,556 members"
Tian Guan Cifu,8.42,"ONA (11 eps)        Oct 2020 - Jan 2021        162,737 members"
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.42,"Movie (1 eps)        Sep 2019 - Sep 2019        453,238 members"
Wu Liuqi: Xuanwu Guo Pian,8.42,"ONA (10 eps)        Jan 2021 - May 2021        75,482 members"
Shingeki no Kyojin: Kuinaki Sentaku,8.41,"OVA (2 eps)        Dec 2014 - Apr 2015        541,648 members"
Jujutsu Kaisen 0 Movie,8.41,"Movie (1 eps)        Dec 2021 - Dec 2021        1,104,904 members"
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.41,"Movie (1 eps)        Aug 2019 - Aug 2019        839,391 members"
Mononoke,8.41,"TV (12 eps)        Jul 2007 - Sep 2007        349,133 members"
Saenai Heroine no Sodatekata Fine,8.41,"Movie (1 eps)        Oct 2019 - Oct 2019        195,671 members"
Saiki Kusuo no Ψ-nan,8.41,"TV (120 eps)        Jul 2016 - Dec 2016        1,177,770 members"
Saiki Kusuo no Ψ-nan 2,8.41,"TV (24 eps)        Jan 2018 - Jun 2018        681,867 members"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.40,"TV (12 eps)        Jan 2019 - Mar 2019        1,837,995 members"
Kamisama Hajimemashita: Kako-hen,8.40,"OVA (4 eps)        Aug 2015 - Aug 2016        176,572 members"
Medalist,8.40,"TV (13 eps)        Jan 2025 - Mar 2025        57,608 members"
Natsume Yuujinchou Roku Specials,8.40,"Special (2 eps)        Sep 2017 - Oct 2017        51,374 members"
Major S5,8.39,"TV (25 eps)        Jan 2009 - Jun 2009        73,925 members"
Ramayana: The Legend of Prince Rama,8.39,"Movie (1 eps)        Jan 1993 - Jan 1993        13,610 members"
Blue Giant,8.39,"Movie (1 eps)        Feb 2023 - Feb 2023        39,451 members"
Houseki no Kuni,8.39,"TV (12 eps)        Oct 2017 - Dec 2017        491,497 members"
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.39,"Movie (1 eps)        Feb 2018 - Feb 2018        465,066 members"
Tunshi Xingkong 4th Season,8.38,"ONA (123 eps)        Oct 2023 -         4,283 members"
Vivy: Fluorite Eye's Song,8.38,"TV (13 eps)        Apr 2021 - Jun 2021        576,271 members"
Yuru Camp△ Movie,8.38,"Movie (1 eps)        Jul 2022 - Jul 2022        88,620 members"
Josee to Tora to Sakana-tachi,8.38,"Movie (1 eps)        Dec 2020 - Dec 2020        476,517 members"
Karakai Jouzu no Takagi-san 3,8.38,"TV (12 eps)        Jan 2022 - Mar 2022        201,005 members"
Kaze ga Tsuyoku Fuiteiru,8.38,"TV (23 eps)        Oct 2018 - Mar 2019        318,646 members"
Made in Abyss Movie 2: Hourou Suru Tasogare,8.38,"Movie (1 eps)        Jan 2019 - Jan 2019        152,000 members"
Chihayafuru 2,8.38,"TV (25 eps)        Jan 2013 - Jun 2013        244,640 members"
Cowboy Bebop: Tengoku no Tobira,8.38,"Movie (1 eps)        Sep 2001 - Sep 2001        395,668 members"
Gintama°: Aizome Kaori-hen,8.38,"OVA (2 eps)        Aug 2016 - Nov 2016        89,734 members"
Girls Band Cry,8.38,"TV (13 eps)        Apr 2024 - Jun 2024        109,818 members"
3-gatsu no Lion,8.37,"TV (22 eps)        Oct 2016 - Mar 2017        706,953 members"
Barakamon,8.37,"TV (12 eps)        Jul 2014 - Sep 2014        689,430 members"
Cross Game,8.37,"TV (50 eps)        Apr 2009 - Mar 2010        129,173 members"
Fruits Basket: Prelude,8.37,"Movie (1 eps)        Feb 2022 - Feb 2022        120,487 members"
Haikyuu!! To the Top,8.37,"TV (13 eps)        Jan 2020 - Apr 2020        998,405 members"
Tunshi Xingkong 3rd Season,8.37,"ONA (33 eps)        Sep 2022 - Apr 2023        3,739 members"
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.37,"Movie (1 eps)        Aug 2009 - Aug 2009        213,595 members"
Mahou Shoujo Madoka★Magica,8.37,"TV (12 eps)        Jan 2011 - Apr 2011        1,348,661 members"
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37,"Movie (1 eps)        Oct 2012 - Oct 2012        211,881 members"
Nezha Zhi Mo Tong Nao Hai,8.37,"Movie (1 eps)        Jan 2025 - Jan 2025        3,176 members"
Kizumonogatari I: Tekketsu-hen,8.36,"Movie (1 eps)        Jan 2016 - Jan 2016        556,928 members"
Non Non Biyori Nonstop,8.36,"TV (12 eps)        Jan 2021 - Mar 2021        132,863 members"
Gintama: Shiroyasha Koutan,8.36,"Special (1 eps)        Sep 2008 - Sep 2008        73,125 members"
Girls & Panzer: Saishuushou Part 4,8.36,"Movie (1 eps)        Oct 2023 - Oct 2023        21,802 members"
Shinseiki Evangelion,8.36,"TV (26 eps)        Oct 1995 - Mar 1996        1,917,640 members"
Tensei shitara Slime Datta Ken 2nd Season,8.36,"TV (12 eps)        Jan 2021 - Mar 2021        1,043,943 members"
Violet Evergarden: Recollections,8.36,"Special (1 eps)        Oct 2021 - Oct 2021        39,000 members"
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.35,"Special (1 eps)        Jul 2018 - Jul 2018        352,714 members"
Xian Ni,8.35,"ONA (128 eps)        Sep 2023 -         6,476 members"
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.35,"TV (12 eps)        Jul 2020 - Sep 2020        777,921 members"
K-On! Movie,8.35,"Movie (1 eps)        Dec 2011 - Dec 2011        343,508 members"
Kaze no Tani no Nausicaä,8.35,"Movie (1 eps)        Mar 1984 - Mar 1984        397,098 members"
Kimetsu no Yaiba: Mugen Ressha-hen,8.35,"TV (7 eps)        Oct 2021 - Nov 2021        868,629 members"
Kono Subarashii Sekai ni Shukufuku wo! 3,8.35,"TV (11 eps)        Apr 2024 - Jun 2024        486,413 members"
Meitantei Conan Movie 26: Kurogane no Submarine,8.35,"Movie (1 eps)        Apr 2023 - Apr 2023        15,874 members"
Mushoku Tensei: Isekai Ittara Honki Dasu,8.35,"TV (11 eps)        Jan 2021 - Mar 2021        1,456,382 members"
Baccano!,8.35,"TV (13 eps)        Jul 2007 - Nov 2007        933,345 members"
Hellsing Ultimate,8.35,"OVA (10 eps)        Feb 2006 - Dec 2012        976,216 members"
Initial D First Stage,8.35,"TV (26 eps)        Apr 1998 - Dec 1998        412,906 members"
Douluo Dalu 2nd Season,8.34,"ONA (237 eps)        Dec 2018 - Jun 2023        22,502 members"
Fumetsu no Anata e,8.34,"TV (20 eps)        Apr 2021 - Aug 2021        931,153 members"
IDOLiSH7 Third Beat! Part 2,8.34,"TV (17 eps)        Oct 2022 - Feb 2023        16,461 members"
